"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Adafruit_Feather_HUZZAH32_ESP32","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-huzzah32-esp32-feather.pdf","Module:Adafruit_Feather","1",""
"C1,C2,C6,C7,C8,C10,C11","10uF","~","Capacitor_SMD:C_0805_2012Metric","7",""
"C3,C4,C12,C13,C15,C16","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","6",""
"C5","100pF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","1000uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C14","6.8nF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","LED","~","","1",""
"J1","Screw_Terminal_01x04","~","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","1",""
"J3,J4,J6","Screw_Terminal_01x03","~","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","3",""
"J5","Screw_Terminal_01x02","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"R1,R2,R3,R4,R7,R8,R12,R13","10k","~","Resistor_SMD:R_1206_3216Metric","8",""
"R5","47k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R6","5k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R9","22k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R10","6.2k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R11","75","~","Resistor_SMD:R_1206_3216Metric","1",""
"R14,R15","3.3k","~","Resistor_SMD:R_1206_3216Metric","2",""
"R16,R17","1.5k","~","Resistor_SMD:R_1206_3216Metric","2",""
"RV2","1k lin.","~","","1",""
"U1,U3","LMV358IDR","LMV358IDR","footprints:21-0041B_8_MXM","2",""
"U2","MAX7403CSA+","MAX7403CSA+","footprints:21-0041B_8_MXM","1",""
"U4","MAX7480ESA+","MAX7480ESA+","21-0041B_8_MXM","1",""
